,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count
245,Science Fiction-Action-Adventure,234.825,Marvel Studios,2012-04-25,220000000.0,1518815515.0,143.0,7.7,27698.0
250,Animation-Comedy-Family,231.283,Walt Disney Pictures-Pixar,2001-11-01,115000000.0,579707738.0,92.0,7.824,16050.0
253,Action-Drama-History,228.698,TriStar Pictures-Entertainment One-JuVee Productions-Jack Blue Productions,2022-09-15,50000000.0,76000000.0,135.0,7.446,176.0
254,Action-Comedy-Fantasy,228.157,New Line Cinema-The Safran Company-Seven Bucks Productions-DC Films,2019-03-29,80000000.0,366080049.0,132.0,7.048,7940.0
261,Action-Adventure-Thriller-War-Mystery,222.112,Marv Films-Cloudy Productions-20th Century Studios,2021-12-22,100000000.0,125928656.0,131.0,6.854,3257.0
262,Action-Adventure-Crime-Thriller,220.593,Universal Pictures-Original Film-One Race-Perfect Storm Entertainment,2021-05-19,200000000.0,726229501.0,143.0,7.238,5749.0
263,Family-Adventure-Comedy-Fantasy,219.741,Paramount-Kerner Entertainment Company-Entertainment One-Walden Media-Scholastic Entertainment-New Republic Pictures,2021-11-10,64000000.0,67000000.0,97.0,7.3,1417.0
265,Drama,219.078,New Line Cinema-Metro-Goldwyn-Mayer-Chartoff-Winkler Productions,2018-11-21,50000000.0,214215889.0,130.0,6.969,4355.0
269,Comedy-Romance,215.674,Smoke House Pictures-Red Om Films-Working Title Films-Fin Design & Effects,2022-09-08,20000000.0,96000000.0,104.0,6.819,160.0
271,Fantasy-Comedy-Adventure,215.18,Columbia Pictures-The Montecito Picture Company-Bron Studios-Ghost Corps,2021-11-11,75000000.0,191000000.0,124.0,7.577,3254.0
276,Adventure-Fantasy-Drama-Romance,212.398,Summit Entertainment-Maverick Films-Imprint Entertainment-Sunswept Entertainment-Temple Hill Entertainment,2010-06-23,68000000.0,698491347.0,124.0,6.219,7716.0
282,Drama-Thriller,207.039,PISF-Stage 6 Films-Maven Screen Media-Studio Orka-JamTart Productions-Off Media-Bleecker Street,2022-03-25,4749917.0,1564696.0,97.0,6.2,84.0
283,Science Fiction-Horror-Thriller,206.767,Universal Pictures-Why Not Productions-Platinum Dunes-Blumhouse Productions,2013-05-31,3000000.0,89328627.0,86.0,6.3,7418.0
284,Animation-Family-Fantasy-Action-Adventure,206.378,Walt Disney Pictures-Walt Disney Animation Studios,2021-03-03,100000000.0,130000000.0,107.0,8.0,5660.0
286,Animation-Adventure-Family-Comedy,205.29,Pixar,1995-10-30,30000000.0,373554033.0,81.0,7.966,15919.0
287,Action-Adventure-Science Fiction,204.789,Marvel Studios,2021-07-07,200000000.0,379751655.0,134.0,7.402,8272.0
288,Action-Adventure-Science Fiction,204.551,Marvel Studios,2015-04-22,365000000.0,1405403694.0,141.0,7.288,20484.0
289,Action-Adventure-Comedy,204.405,20th Century Fox-The Donners' Company-Genre Films,2016-02-09,58000000.0,783100000.0,108.0,7.601,27457.0
291,Drama-History-Music,203.044,Warner Bros. Pictures-Bazmark Films-The Jackal Group-Fin Design & Effects,2022-06-22,85000000.0,286000000.0,159.0,7.807,1713.0
292,Animation-Action-Adventure-Fantasy,202.899,Sony Music Entertainment (Japan)-Toho-dentsu-BONES-Shueisha-Movic-Nippon Television Network Corporation-Yomiuri Telecasting Corporation-Toho Music,2018-08-03,12000000.0,31478826.0,96.0,7.921,809.0
293,Drama-Romance,202.801,Paramount-20th Century Fox-Lightstorm Entertainment,1997-11-18,200000000.0,2187463944.0,194.0,7.876,21701.0
296,Horror-Thriller,200.556,New Line Cinema-The Safran Company-Evergreen Media Group,2013-07-18,13000000.0,319494638.0,112.0,7.533,9804.0
298,Drama-Romance,199.275,New Line Cinema-Metro-Goldwyn-Mayer-Sunswept Entertainment,2016-06-01,20000000.0,207945075.0,110.0,7.9,10267.0
299,Action-Crime,199.061,Warner Bros. Pictures-LuckyChap Entertainment-Clubhouse Pictures-Kroll & Co Entertainment-DC Films,2020-02-05,75000000.0,201858461.0,109.0,6.995,9055.0
300,Animation-Comedy-Fantasy-Adventure-Family,198.718,DreamWorks Pictures-Pacific Data Images-DreamWorks Animation,2001-05-18,60000000.0,487853320.0,90.0,7.701,14377.0
305,Adventure-Drama-Science Fiction,196.948,Legendary Pictures-Syncopy-Lynda Obst Productions,2014-11-05,165000000.0,701729206.0,169.0,8.379,29551.0
306,Action-Romance-Animation,196.595,Aniplex,2014-12-06,1000000.0,16500000.0,114.0,7.851,1350.0
